flag0,flag1,normal0,normal1,exp0,expexp0,count0,count1,word0,word1,sig2,negsig3,when
true,true,0.195582,-0.732230,48307917.828644,657.940628,9,830,fkbfwjwx,pbcahwiiersx,8.4,-0.69,2014-09-17T10:21:53Z
true,true,-1.792191,-0.800154,387915147.065562,790543883998386909787532106149684441131843244637688527530754048.000000,12,161,nvow,cinwpwkmdyhh,5.2,-3.57,2014-09-17T10:22:53Z
false,false,-0.943621,-0.901025,41820.669149,661321757382112512.000000,50,559,yvorxcxsiq,zfh,8.8,-5.77,2014-09-17T10:23:53Z
false,false,1.082070,0.663497,1170419.491289,23160691191893671936.000000,1,934,oueg,jrsjixtpkek,0.2,-5.85,2014-09-17T10:24:53Z
true,false,0.411672,0.153273,7958.896053,5520.317818,2,90,jvhdylbesy,voirjmusv,2.8,5.72,2014-09-17T10:25:53Z
true,false,-0.255517,-1.056027,216.717064,9356.572758,902,872,njlnm,huazufnvpx,9.7,-6.28,2014-09-17T10:26:53Z
true,true,0.836753,0.871800,65564344.747618,364.198948,2628,63,wayvwd,yhfnrjaos,3.3,-7.69,2014-09-17T10:27:53Z
true,true,1.009670,-0.295604,5.325471,108707936828777604461064936193180501002873712148480.000000,143,427,zlxhw,aghvfu,6.5,-7.80,2014-09-17T10:28:53Z
true,true,0.201983,-0.427268,1704.272348,13265489736.451157,3,301,qcppna,qqpf,4.9,3.91,2014-09-17T10:29:53Z
false,false,0.910962,0.177951,31302228.084783,23848174.081793,386,797,jeeqnrmcgjc,xgjb,3.9,-5.51,2014-09-17T10:30:53Z
false,false,-0.723868,-0.385537,990.431038,5.846103,90143,615,fxbunmnfztpy,jazkwylkkgb,2.4,-2.27,2014-09-17T10:31:53Z
true,false,-1.606518,0.369177,86128728.960669,244.412860,3,389,idamxjbul,amirrdhhzu,8.3,9.62,2014-09-17T10:32:53Z
false,false,2.013549,-1.632177,30486.152477,3.360146,16839,105,xupubuspjp,bqhuvgyd,1.9,-3.93,2014-09-17T10:33:53Z
false,true,0.164302,-0.975075,48.147946,294.164658,57587,231,qruhy,ycyxldsw,1.9,4.79,2014-09-17T10:34:53Z
false,true,0.929952,-2.122153,4307374.652161,9663464789111779223113784341811703223920442925383680.000000,85,731,wshjscnts,xjqtvps,4.4,6.71,2014-09-17T10:35:53Z
false,false,-0.044079,0.000636,19.827577,161.827242,2050,273,kbbdtblrlpi,ujaajmyjc,8.6,3.41,2014-09-17T10:36:53Z
true,true,0.911298,-0.352376,2052668.022574,214753006947610.343750,13,766,ucntonxomsh,uzweva,7.4,-0.85,2014-09-17T10:37:53Z
true,true,0.586540,0.252232,2659.488388,5.044964,46,161,whpdduix,ghfusdz,9.4,-2.94,2014-09-17T10:38:53Z
true,false,-1.799312,0.380403,2103.873477,22183003924963170189312.000000,39,941,mci,ngabph,4.9,-9.83,2014-09-17T10:39:53Z
true,true,0.818225,1.905327,38802824.840506,391.861292,18,162,kqzbvapyvsjx,cjupmcfrnca,6.9,7.90,2014-09-17T10:40:53Z
false,true,0.534311,0.597884,42214321.220885,113717787410586944.000000,110,859,bfrh,lclcfvrg,8.0,6.00,2014-09-17T10:41:53Z
false,false,-1.086642,-0.568832,6.796679,15316.998783,6,220,badcmbp,ncut,9.0,5.98,2014-09-17T10:42:53Z
false,true,0.153707,-0.069797,1.102513,222.381372,16398,286,doubkttk,smammqfl,6.2,7.20,2014-09-17T10:43:53Z
false,true,0.409547,0.944997,21357145.677383,1826.401977,402,243,heqqkhe,txiairezt,8.5,4.01,2014-09-17T10:44:53Z
true,false,0.958999,0.992750,9.613073,2100586807710957763437103094344905129984.000000,14,325,fyjarqkvqmq,flhkgpcqz,9.5,-5.14,2014-09-17T10:45:53Z
true,true,-0.857730,-0.962748,120780.008470,20.419454,10276,469,wbi,yzbwozdecbqf,3.3,-7.76,2014-09-17T10:46:53Z
true,false,0.648796,1.199361,13997956.495512,3.640886,21,535,wonmchivfbz,gxb,6.7,-7.24,2014-09-17T10:47:53Z
false,false,0.034233,0.190305,361038.474869,8259.186885,82058,377,isrplfero,vyhbnfii,2.7,9.62,2014-09-17T10:48:53Z
true,false,-0.076818,-0.938777,202178.698012,541.134273,46590,157,kzmxnqhpgre,jieidgv,0.8,-1.65,2014-09-17T10:49:53Z
true,true,-0.679959,1.285572,3.181662,51.925931,6,325,usf,hgb,6.1,-2.42,2014-09-17T10:50:53Z
false,false,2.554694,0.112766,2.292251,22470890167.721344,814,113,tgpgnkjbr,ewuqolrb,6.7,1.57,2014-09-17T10:51:53Z
false,true,-2.069257,1.205442,1.188773,35040816836131497084715008.000000,116,130,fdpezjmnsy,bsgmautuwta,6.7,8.82,2014-09-17T10:52:53Z
false,true,0.485316,-0.649874,5478.777230,12.417366,73091,698,myflyawc,pxov,5.5,4.49,2014-09-17T10:53:53Z
false,false,1.683192,-0.657510,624836.931131,17845944370.166515,1806,579,swenxn,lcxbysw,6.4,-8.91,2014-09-17T10:54:53Z
true,true,-1.176939,0.565046,7250133.137064,89473954.277156,3130,46,xmug,lcrsgkpqbdo,6.5,6.95,2014-09-17T10:55:53Z
false,true,-1.557457,1.047103,5324336.480841,7356261081131073754313940969341425863035713037487046656.000000,2789,298,gysggwna,uhalmdebphjc,5.3,7.03,2014-09-17T10:56:53Z
false,false,-1.753825,-0.240208,124276.109583,2.835518,1853,267,sgvwwkvpz,zbwsx,9.8,2.92,2014-09-17T10:57:53Z
false,true,0.039596,-0.171964,249569.223492,8451.350612,3,929,xuespjyv,ejosnipkiexe,1.1,-0.83,2014-09-17T10:58:53Z
true,true,1.018416,-1.251010,128568.483009,624653.741562,463,697,glkjfchria,xqkcuimoamf,8.9,-8.81,2014-09-17T10:59:53Z
false,true,-0.800079,0.703426,3580.679443,5.174022,48,784,tiwsjcwwkeih,intdxvzbq,5.6,3.31,2014-09-17T11:00:53Z
true,false,1.498724,0.442070,168.146563,257564185.033820,44063,621,ydg,wlxmhhnyh,2.8,-6.64,2014-09-17T11:01:53Z
false,false,2.099236,1.066069,74907.965324,43.454402,30310,598,rpwipqh,hczpnxl,1.2,-5.61,2014-09-17T11:02:53Z
true,true,-0.380662,-0.650927,3.455719,15.184182,1187,27,hftgug,gfqe,0.8,9.06,2014-09-17T11:03:53Z
false,false,-0.186825,-0.812046,22915.630701,46.032781,4895,958,ncbdktnvomt,dqmgpfwljtmp,6.8,-0.77,2014-09-17T11:04:53Z
false,false,1.307972,0.804871,104581216.452828,2.886816,25212,112,ljgnim,pfpqzbge,4.3,-7.13,2014-09-17T11:05:53Z
false,false,-2.724291,0.780285,116120.922348,1164.763565,1,908,mqqc,dhljg,1.5,4.94,2014-09-17T11:06:53Z
false,false,-0.384983,0.694633,1037319.745814,600484.364045,76,862,mqopseasmbe,ijyqrduwaex,3.9,6.53,2014-09-17T11:07:53Z
true,false,0.103423,-0.339528,23.313278,5.495852,1,831,jkd,rjlgrn,9.5,-8.43,2014-09-17T11:08:53Z
true,true,-0.717898,-0.831062,288.066804,277905227350070520632536640684814106431062016.000000,108,107,vwriseuktaf,nrfm,9.4,3.93,2014-09-17T11:09:53Z
false,false,-1.323115,0.695227,493915.082771,173018.049684,3900,112,gqal,quv,5.2,6.31,2014-09-17T11:10:53Z
true,true,-0.031427,2.002412,18243.096992,139594460486007079979512712134656.000000,3115,283,dilybzrsf,curkewmjf,5.1,9.71,2014-09-17T11:11:53Z
false,false,-0.485482,1.072450,9308.638536,6.722827,1,314,yehnqay,yigotxae,9.2,1.05,2014-09-17T11:12:53Z
false,true,-1.128767,0.411634,49.069389,10020109319203758580438147268608.000000,2,865,gkn,nzhodnzjtmi,7.5,-2.26,2014-09-17T11:13:53Z
false,false,0.540749,0.490796,255482300.135795,1986820821654993633280.000000,1,236,eomrekry,mcqgbvdkh,6.8,-7.58,2014-09-17T11:14:53Z
true,false,-0.560928,0.552667,3705098.313953,33.317519,7,750,oejlqbbmyoii,xkxl,9.7,7.28,2014-09-17T11:15:53Z
false,true,-1.831660,-0.769482,338538.706771,19.559303,23087,512,dslgjmjysndg,gonql,3.4,8.62,2014-09-17T11:16:53Z
true,true,2.636655,-1.954711,189.088486,33413619823396687872.000000,6458,464,guogkwbivb,aacjwrssbxv,6.1,8.43,2014-09-17T11:17:53Z
true,true,-0.085717,0.225469,7.732731,807071372031106616138848534528.000000,652,478,wnzn,ohzytphhf,5.5,-1.33,2014-09-17T11:18:53Z
false,false,-0.362912,0.459370,47279798.536640,40694.122825,10,674,stbekfkkxz,mbbghhtoudv,2.3,1.25,2014-09-17T11:19:53Z
false,false,-0.182095,1.679636,20142994.301084,12037354649610774070379044405248.000000,524,192,dlmvjdrcl,qsdleiixsmj,4.3,-4.55,2014-09-17T11:20:53Z
true,false,0.251054,-0.767108,2.008061,52120708731609168.000000,9253,393,qalxsdtcddid,tjo,1.6,-8.68,2014-09-17T11:21:53Z
true,true,-0.778078,0.100658,24.166503,5008194896862163426103080976404971520.000000,27,920,smwbcclxjwd,qncpaaepyean,9.9,-8.85,2014-09-17T11:22:53Z
false,true,-1.681389,-1.606523,352167257.234094,312.692364,17,690,jnxzsl,uniklizdbqdx,8.1,2.56,2014-09-17T11:23:53Z
true,false,0.138660,0.762973,130204032.612706,674162.183129,1,868,opmfw,ckejuovg,0.7,3.16,2014-09-17T11:24:53Z
true,true,0.340432,0.907459,35583512.106138,2.937033,144,437,wmyqdxkiwglx,jtqwk,6.0,9.90,2014-09-17T11:25:53Z
true,false,0.034446,-0.179166,1754893.744862,574064806792419136.000000,333,2,wmovlf,hsgtydwbaov,1.0,8.40,2014-09-17T11:26:53Z
true,false,0.793904,0.192351,220666892.738699,3742171782005179.000000,41,570,agh,bwypvtzlp,2.1,3.85,2014-09-17T11:27:53Z
true,false,0.364082,-0.224128,478.612777,9720079362273939390575149056.000000,287,844,cjwviqz,qbqvsszclqv,0.5,1.43,2014-09-17T11:28:53Z
true,false,-0.345604,-0.168751,109372780.695022,3.669177,13,145,hbyczmaccwke,wqslvhz,2.6,6.77,2014-09-17T11:29:53Z
false,false,1.556735,-0.963934,19.180187,65603343203721525333230294374553975134562717674162356224.000000,3514,396,idslkzdciokg,ingbsswn,1.0,3.55,2014-09-17T11:30:53Z
true,false,0.156551,-1.799975,28873.515511,324911760632743.437500,37680,800,hvz,jvcqyw,2.2,8.80,2014-09-17T11:31:53Z
true,true,0.404458,-0.776293,852832.242380,259.157976,42482,605,lmfqxvuvmeg,crtmvwafgbni,7.9,9.34,2014-09-17T11:32:53Z
true,true,-0.651878,-0.011205,12.610096,4.065173,979,501,tcifpmpqyij,cgmqd,1.8,7.74,2014-09-17T11:33:53Z
false,true,0.544043,-0.132911,6892.885599,13668875407077433344.000000,2,624,xetdo,uvwfmogm,7.4,-5.53,2014-09-17T11:34:53Z
false,true,-0.620147,1.362829,580386.451810,673948.169250,6,761,sejmulgx,seiuruf,4.6,2.79,2014-09-17T11:35:53Z
true,false,-0.111248,-1.473066,87.783360,30818483493980471296.000000,1,631,gapae,nharibajnhii,5.1,7.36,2014-09-17T11:36:53Z
true,true,-0.007530,-0.670694,4.455948,3782900928837981337183660812897482912890691256320.000000,812,424,zujebhh,gemyuz,0.8,7.17,2014-09-17T11:37:53Z
true,false,0.541741,1.263283,6676336.203483,49731.154954,605,876,jfoksfofuti,qwww,2.7,-1.71,2014-09-17T11:38:53Z
true,false,-0.328630,0.005953,678155.312206,38.443480,110,46,vqlsijshajoa,jpuka,7.3,-5.88,2014-09-17T11:39:53Z
true,true,3.000423,0.162887,15.044748,12421865181.514912,16756,937,vvmvxms,kidhw,2.8,-5.06,2014-09-17T11:40:53Z
false,false,0.879507,-1.234969,52775367.656075,1114130.839115,201,639,lufsayqzxvj,htrisxltm,7.2,9.88,2014-09-17T11:41:53Z
true,true,-0.980708,-1.005338,70.103794,3232926445.782077,3,373,vocuab,oesfubhozhb,7.6,7.23,2014-09-17T11:42:53Z
true,true,2.303172,0.573164,8625.437397,12.703029,1,346,ott,ypw,3.9,-4.02,2014-09-17T11:43:53Z
true,true,-1.120884,-1.636525,4.803896,15340279743002023909392384.000000,2520,393,oohuxqfb,cafbk,9.9,-7.41,2014-09-17T11:44:53Z
false,false,-0.299056,-1.307554,2.553995,2224203644893164832332727819278881574943683588461476970496.000000,28366,490,uciuyr,xfpwzd,8.1,-5.23,2014-09-17T11:45:53Z
false,false,1.076689,-0.377899,1014.619855,4408484351.116866,427,844,xluukj,nfkmkcaeozd,0.6,-9.16,2014-09-17T11:46:53Z
false,false,0.606445,0.181146,15.017542,4.187682,730,464,sao,mxnimtv,8.9,-4.52,2014-09-17T11:47:53Z
false,false,-0.818610,0.135920,89865.359758,8.834647,112,253,ewvvaqjy,ysbzarxw,0.2,-4.89,2014-09-17T11:48:53Z
false,true,0.428282,0.507763,3634.403604,46506071495606666318885912997527552.000000,377,729,fylcxgiml,igjmtktag,4.1,-7.55,2014-09-17T11:49:53Z
true,false,0.643339,0.083641,14.506720,19432424482726725017357996761084121633867300099531791663104.000000,320,131,tmutetlutf,dmxdrrhsyxb,2.6,5.00,2014-09-17T11:50:53Z
true,true,0.744795,0.337537,1038.591624,3.156437,3119,682,vqct,fuamsbzswns,9.3,9.12,2014-09-17T11:51:53Z
true,true,0.381830,-1.286378,51192510.730686,244.680226,1393,839,bldcpekc,iqfafvzvfo,7.4,6.57,2014-09-17T11:52:53Z
false,false,-0.030596,-1.058419,178.348396,6.049694,10906,349,toltynlphc,zogabtg,7.3,-1.83,2014-09-17T11:53:53Z
true,false,0.423631,-1.729300,7943057.038496,11.647089,7,917,rdtifcwaxx,qgapgsw,0.0,-8.15,2014-09-17T11:54:53Z
true,false,-0.213199,0.380285,421023368.306811,183612660866707468845056.000000,1,161,qvovb,rgmcknhv,8.8,-7.48,2014-09-17T11:55:53Z
false,true,1.417448,1.193581,7321434.111017,31.346564,528,684,dzbpyyejshc,foyuvoyhamcu,4.4,4.98,2014-09-17T11:56:53Z
false,true,-1.204292,-1.324901,5.573130,5483503321931455488.000000,428,367,qvehfdfmvw,fzdpidvkr,7.0,-2.53,2014-09-17T11:57:53Z
true,true,-1.430127,1.024301,75.951902,22934749370515787350016.000000,670,878,lmrqnydmy,tbswqrmev,2.1,-2.96,2014-09-17T11:58:53Z
true,true,-0.486717,0.691139,50.491981,7.482973,10,793,hyodzrgtyvy,ekurodq,4.5,-5.02,2014-09-17T11:59:53Z
true,false,0.236873,-1.252121,6332.952953,867221.923846,2279,315,lsty,cnbin,3.6,1.68,2014-09-17T12:00:53Z
true,false,-0.937802,-0.733306,1674593.823526,145.474917,2874,770,icbckhgjy,puynnyatfu,2.3,9.34,2014-09-17T12:01:53Z
false,true,-0.327420,-1.217648,1754172.053043,923238.246847,4657,754,dvfjhel,bdhstklhj,4.8,-3.14,2014-09-17T12:02:53Z
false,true,0.883233,-1.330983,1649193.447433,2.950183,860,633,osqlkhfs,ippc,2.9,6.05,2014-09-17T12:03:53Z
true,true,-0.503130,-0.293734,12699.852772,467770867950721216.000000,11797,666,glvskllgzp,gfsfcjbjko,1.1,1.35,2014-09-17T12:04:53Z
true,false,-0.563004,0.402598,19162641.270681,587182219751033755664384.000000,1420,7,dbu,daxbukmijydo,8.2,5.14,2014-09-17T12:05:53Z
true,false,-0.379880,0.852087,1295557.398012,142.643422,30997,886,fkgo,mpd,3.7,-1.96,2014-09-17T12:06:53Z
true,true,-0.068529,-0.931844,8321.629835,55957787488918639102172587085772415965419806161633280.000000,183,542,qctdf,saxnpkjx,0.1,6.95,2014-09-17T12:07:53Z
true,true,-0.542182,0.209404,2619626.772652,593761890280968367615936353859898939450183491552821859319808.000000,93,950,zrrcz,qaqtshoowbz,6.9,-9.63,2014-09-17T12:08:53Z
false,false,0.182124,-0.506212,56001142.662296,5.391421,17,466,nhknk,xbqztaa,0.2,-0.91,2014-09-17T12:09:53Z
true,false,0.302313,-0.059818,134643997.331379,5004.932298,13,810,suhhxooxfcs,icckvi,7.4,3.61,2014-09-17T12:10:53Z
true,true,1.329457,-1.212295,4809839.574596,4875.774456,2247,65,mleu,ckstuiuqrw,5.9,1.32,2014-09-17T12:11:53Z
false,true,-0.730707,-0.733167,3.457295,6.138822,10367,253,pncs,qrjukn,5.0,-9.05,2014-09-17T12:12:53Z
true,false,0.687299,0.892836,58052.918511,79.093708,2902,62,gsz,hewy,1.4,-6.63,2014-09-17T12:13:53Z
true,false,-0.918156,-1.514879,3783180.253292,333204761386100.125000,181,22,ctiybd,pjcxtjb,8.0,0.83,2014-09-17T12:14:53Z
false,false,-0.746136,-1.551442,52.782690,23.545990,7695,982,glbfey,erigfbqrvea,8.9,8.62,2014-09-17T12:15:53Z
true,false,0.173226,0.325197,284922.466415,395476657335920791262330880.000000,1891,620,dcfvgjxzbd,ich,5.1,3.21,2014-09-17T12:16:53Z
true,true,-0.269591,0.942137,164299995.941980,2.993977,5453,884,ekxxydwwyoz,sqozuanpsrr,1.2,-3.83,2014-09-17T12:17:53Z
false,false,0.395856,0.194841,178.685561,3.817378,1307,185,cmss,lhwlwixqgpno,4.2,-3.68,2014-09-17T12:18:53Z
true,false,1.854110,-0.196904,86731959.485293,11.629658,39751,132,whm,wjmjnn,1.5,-8.21,2014-09-17T12:19:53Z
false,false,-1.452997,-0.776264,7952586.650021,982432099.595367,148634,704,yefntqmgwyko,rdoxnskqt,6.0,8.54,2014-09-17T12:20:53Z
false,true,0.054103,-0.780562,118938915.666310,15894018199163580416.000000,54,175,szklmehduv,rcsdpcfogkz,8.6,-0.25,2014-09-17T12:21:53Z
true,true,0.233110,1.032482,341.960866,3441259231571959084445012025509610388784327484516597760.000000,15,966,duvyxmhtkfab,vtgj,2.1,-6.00,2014-09-17T12:22:53Z
false,true,0.249773,1.029327,2.058154,3.309689,9879,429,psvgin,wmgarzpie,7.2,-0.53,2014-09-17T12:23:53Z
true,true,1.491558,0.632560,5.822746,1036493.992380,8730,763,wczts,oviksjuyzu,9.1,-9.13,2014-09-17T12:24:53Z
false,false,-1.122006,-0.152957,41.052979,5000848246134779.000000,269,492,zqanl,davuqskee,7.6,1.61,2014-09-17T12:25:53Z
true,true,-1.350218,0.349728,17568666.991445,5.947035,1135,709,pkxy,zkymyi,4.3,2.87,2014-09-17T12:26:53Z
false,false,-0.479583,0.147291,19.179894,25836.033951,118,180,mwzooxwtaf,scd,5.0,9.76,2014-09-17T12:27:53Z
true,true,0.928065,-0.445201,126.325162,5.103419,29953,779,wfqotx,gafhwhbhubx,0.8,1.46,2014-09-17T12:28:53Z
false,true,-0.268745,0.298684,86.999663,1002775325352082669568.000000,3,281,peymn,moyhd,7.9,4.64,2014-09-17T12:29:53Z
true,true,0.345784,0.122904,114532654.219443,894.107255,21,61,enxnqf,rgwllslc,9.9,-5.44,2014-09-17T12:30:53Z
true,true,0.455993,1.285363,553955.250800,28.664965,472,569,jgsugp,ingomfv,4.1,0.38,2014-09-17T12:31:53Z
false,true,2.500877,-0.879780,1722.875560,4837822843765818.000000,56,861,dqvnfffmnu,geijhbxsustw,9.8,-8.87,2014-09-17T12:32:53Z
false,true,-1.594391,0.418781,87219.398551,99.204500,33,336,vlp,ukwfzydeazl,9.0,9.95,2014-09-17T12:33:53Z
true,false,0.482068,0.034523,20289109.988694,609455014500.747070,3120,843,qmcqhcw,jbyhnw,9.6,-6.89,2014-09-17T12:34:53Z
true,true,0.191329,1.870992,391172.691065,211.943496,386,455,seeuj,aku,6.8,3.05,2014-09-17T12:35:53Z
true,false,-1.913327,-0.282605,219.187045,143312390412705.718750,1274,424,jcsrivh,whh,7.9,-0.32,2014-09-17T12:36:53Z
true,false,0.365967,-0.436472,29.948458,15.372450,68,527,qweirvbjvcsv,uoyq,7.3,6.62,2014-09-17T12:37:53Z
false,true,-2.732523,-1.325568,143.163001,128975619595751896645632.000000,13447,521,leuuvdsxizsj,rutrjhrvcjnl,0.1,-9.65,2014-09-17T12:38:53Z
true,true,0.784603,1.334111,862219.897710,16.839970,1,882,owfyv,ooha,6.8,3.71,2014-09-17T12:39:53Z
false,false,-0.055278,0.201968,121.349951,53.983529,68983,818,byjletx,kegyvgx,8.8,9.51,2014-09-17T12:40:53Z
true,false,-1.639008,-1.124233,7998252.701408,220.981178,1,210,wovg,dervzyxawurg,3.8,9.11,2014-09-17T12:41:53Z
false,true,1.840033,1.999321,8068.604254,8579.752369,10274,358,kcrpevfdijq,fulldcmjvcyp,9.1,1.97,2014-09-17T12:42:53Z
true,true,2.800007,1.279411,13404.892185,17200338337961754624.000000,105,775,cuaaclg,meloicos,4.1,-6.45,2014-09-17T12:43:53Z
true,true,-0.427657,0.116248,8797.334011,58845491474283257280393751035904.000000,34,707,cpy,tvdld,4.2,0.38,2014-09-17T12:44:53Z
false,false,1.585036,0.234238,15.146687,1516.696845,80399,691,stznvyx,vidlfxvdttfg,0.5,8.20,2014-09-17T12:45:53Z
true,false,0.455929,0.887478,2316460.333198,455.672828,4813,359,uoz,igfkpjmqxztc,9.8,-1.40,2014-09-17T12:46:53Z
false,true,-0.330357,0.080957,44415.172494,6.996648,4296,286,eirxikyezrz,oatoeipsn,7.8,3.43,2014-09-17T12:47:53Z
true,true,-1.407629,-0.270192,46.249427,1399811296827049443852288.000000,6,842,ykonnlbqo,zkt,4.0,2.85,2014-09-17T12:48:53Z
true,false,1.259137,0.044867,3426081.481176,34.307962,162,394,cmzwsyg,frhijgjq,2.9,8.34,2014-09-17T12:49:53Z
false,false,1.049480,-1.010915,8923.075554,1583.880632,1146,617,jsrynnuvge,eaplpiuxu,0.6,-1.50,2014-09-17T12:50:53Z
true,true,-2.394410,0.481138,17686252.478992,2202584138220018637784219648.000000,1995,552,vcxhfwfvcsyx,coegj,6.4,2.96,2014-09-17T12:51:53Z
false,true,-2.074798,-1.467174,63915.142804,6.264958,52,197,hhnfmc,ich,0.0,7.13,2014-09-17T12:52:53Z
false,false,0.676582,-0.250129,1302669.182988,36.108506,1,983,mxrgzs,vilyhxnfipsk,1.3,-8.54,2014-09-17T12:53:53Z
true,true,0.034790,-0.350830,7835498.755002,32658.547518,2687,718,qvueryf,cav,0.3,-2.41,2014-09-17T12:54:53Z
true,true,-0.824572,0.067406,147273930.567729,468426438269157014521168008729219253141504.000000,3,807,bcknvpltain,ifnfzwlv,0.4,5.06,2014-09-17T12:55:53Z
false,true,-0.532063,-0.285952,611786.642761,437381052328682.437500,53,490,pygkj,akwm,9.9,4.92,2014-09-17T12:56:53Z
true,true,-0.039958,-0.518370,104.772812,34021435785545.328125,3016,919,xmjac,fbdog,5.7,0.08,2014-09-17T12:57:53Z
false,true,1.528761,-1.329453,35.443327,15172988503123.763672,11425,122,uxszvkbfmq,xezsg,4.7,-8.50,2014-09-17T12:58:53Z
true,true,0.793005,-0.282559,86835.247046,3.547791,2529,884,fwhnrrz,auy,7.3,-4.02,2014-09-17T12:59:53Z
false,true,-0.167794,0.742024,48.703074,56236701643.794327,421,653,lex,gvic,8.5,5.58,2014-09-17T13:00:53Z
false,true,0.809173,1.334740,249470.202229,102813.133843,628,818,vlqnvqeqot,hkag,8.9,-9.00,2014-09-17T13:01:53Z
true,false,0.267051,-0.322971,1.403740,12186.220439,7929,537,jwtngys,edcnp,3.4,-4.26,2014-09-17T13:02:53Z
false,true,-0.798116,-0.245895,186.229275,1065768233.715186,23,148,bvcersetoie,nvrdfosm,8.8,1.43,2014-09-17T13:03:53Z
true,true,0.003481,-0.294877,3049.684514,345.575143,482,406,vvzmyn,uiykgem,4.3,-8.69,2014-09-17T13:04:53Z
true,true,0.001372,-1.260029,14036.807648,348.239461,18,311,rwdx,twvkkmk,5.2,-1.85,2014-09-17T13:05:53Z
true,false,1.199747,-0.619893,3008.384715,1121419044049185175155433621975728128.000000,6461,119,ebsoep,sjkth,6.3,-9.69,2014-09-17T13:06:53Z
true,true,-1.404652,0.779537,19.193189,2.885394,113181,171,aoecl,oksdlx,7.9,-6.10,2014-09-17T13:07:53Z
false,true,0.980654,-0.679295,2262860.076735,96.479793,1722,933,qgczsw,egkvup,9.4,-4.22,2014-09-17T13:08:53Z
false,false,0.690762,-0.928056,23.878315,20576350867593804756278701220615880619287774760650827567726592.000000,41,835,pxixxpb,ubr,4.3,0.38,2014-09-17T13:09:53Z
false,false,0.629424,0.792626,114993.940916,14.551352,18723,636,nxg,hfdhwdbvvhg,0.9,1.60,2014-09-17T13:10:53Z
true,true,2.173526,0.595893,168735.982348,4244176437591135142532760584951915610112.000000,1,577,leyggromi,airwc,3.8,3.32,2014-09-17T13:11:53Z
true,true,0.544582,-0.289567,44481.810130,242.463122,8,247,qjoifpooa,yxwdxwkpmpb,6.7,-6.76,2014-09-17T13:12:53Z
false,true,-0.816955,-0.772156,8370867.003226,3561.174572,2,704,gmb,atguisz,7.2,-5.45,2014-09-17T13:13:53Z
true,true,0.628152,-0.758305,16.435581,5.301118,38739,225,rpmhydwjdjmb,vqt,6.6,0.63,2014-09-17T13:14:53Z
false,false,1.258151,-1.010776,32.312466,582.703117,134,609,utnbabx,eahqmitoow,9.4,2.40,2014-09-17T13:15:53Z
false,true,-1.179481,0.988960,80065.078454,45925431896813534497996800.000000,8,807,whluizffvq,miem,5.3,4.71,2014-09-17T13:16:53Z
false,false,-0.585017,0.437222,1523.617112,5.564801,107,857,nujgepskdpw,kcvenumsdyp,8.3,-7.20,2014-09-17T13:17:53Z
true,true,-0.501824,-0.040961,861026.569935,453648754840928576864256.000000,3776,272,mwvje,ngaqy,4.5,-4.89,2014-09-17T13:18:53Z
true,false,0.639594,-0.453647,1.057103,8283312007339897368929900088541363170028791468654592.000000,16289,735,kopvdkc,gym,4.0,-7.47,2014-09-17T13:19:53Z
false,true,1.087472,-1.758834,44.326694,56.859421,136,891,qqvi,wbomexsrl,9.2,-1.89,2014-09-17T13:20:53Z
